Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,transistor_density,gflops_per_watt,process_generation
0,AMD Athlon 64 3500+,CPU,2007-02-20,65.0,45.0,77.0,122.0,2200.0,Unknown,AMD,17502.59598927847,9336.860098243938,528.635852980857,1.5844155844155845,207.4857799609764,0
1,AMD Athlon 200GE,CPU,2018-09-06,14.0,35.0,192.0,4800.0,3200.0,Unknown,AMD,8220.713372179322,5642.42006536865,266.11602384294565,25.0,161.21200186767572,3
2,Intel Core i5-1145G7,CPU,2020-09-02,10.0,28.0,153.6876340549865,3005.8313153725685,2600.0,Intel,Intel,27031.981320903524,13513.8859343113,844.7394668172917,19.558055752859985,482.6387833682607,4
3,Intel Xeon E5-2603 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,1800.0,Intel,Intel,12825.33858924239,7521.511314489078,377.73205892145336,8.75,94.01889143111347,2
4,AMD Phenom II X4 980 BE,CPU,2011-05-03,45.0,125.0,258.0,758.0,3700.0,Unknown,AMD,5576.876609291498,3584.5920763186086,198.95517683319156,2.937984496124031,28.67673661054887,1
5,Intel Xeon E5-2470 v2,CPU,2013-09-01,22.0,95.0,160.0,1400.0,2400.0,Intel,Intel,9861.524792092952,5499.415082425895,325.79165909387075,8.75,57.88857981500942,2
6,AMD Phenom X4 9750 (125W),CPU,2008-03-27,65.0,125.0,285.0,450.0,2400.0,Unknown,AMD,18330.34080260937,9584.627339643963,559.6925705106322,1.5789473684210527,76.6770187171517,0
7,Intel Pentium D 930,CPU,2006-01-16,65.0,130.0,140.0,376.0,3000.0,Intel,Intel,17218.67943687024,9229.597763658452,518.6792162373687,2.6857142857142855,70.99690587429579,0
8,Intel Core i3-1125G4,CPU,2020-09-02,10.0,28.0,238.79999999999998,2211.65332286549,2000.0,Intel,Intel,27523.059979887064,13763.368348106787,860.1204970751102,9.261529827744933,491.5488695752424,4
9,AMD Athlon 64 X2 4200+,CPU,2006-05-23,90.0,89.0,156.0,154.0,2200.0,Unknown,AMD,17922.624440198448,9462.261300323546,544.4053378001687,0.9871794871794872,106.31754270026455,0
10,AMD Sempron 2800+,CPU,2004-08-01,130.0,62.0,80.0,37.0,1992.0,Unknown,AMD,16732.196051573228,9113.596101734973,499.50150406259377,0.4625,146.9934855118544,0
11,Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,1480.0,2200.0,Intel,Intel,9244.023748675072,5223.333467008196,307.5084210442928,9.25,149.238099057377,2
12,AMD C-70,CPU,2012-09-01,40.0,9.0,75.0,476.7669133665512,1000.0,Unknown,AMD,1071.192383253836,787.6499953567741,29.398633730075325,6.356892178220683,87.51666615075267,0
13,Intel Core i5-8269U,CPU,2018-04-05,14.0,28.0,123.0,760.7263899437419,2600.0,Intel,Intel,22837.157525898492,11416.509955162097,713.6456425811213,6.184767397916601,407.7324983986463,3
14,AMD Phenom X4 9600 BE,CPU,2007-12-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,18670.909833646405,9693.056039163332,572.2680016808725,1.5789473684210527,102.03216883329823,0
15,Intel Pentium 3560Y,CPU,2013-09-01,22.0,12.0,118.0,1400.0,1200.0,Intel,Intel,5887.899255141801,5523.5877041914,88.81789606171345,11.864406779661017,460.29897534928335,2
16,AMD Turion X2 Ultra ZM-84,CPU,2008-09-01,65.0,35.0,134.53173969669547,230.17967784715236,2300.0,Unknown,AMD,26289.777437615463,12926.893985944012,808.020219242794,1.7109693100386356,369.33982816982893,0
17,Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,109.0,125.0,2660.0,Intel,Intel,17462.85120127507,9310.682843552551,527.5906692876204,1.146788990825688,110.84146242324466,0
18,Intel Xeon E5-2430 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2500.0,Intel,Intel,8804.210575726644,5026.860598746082,294.49132198748146,8.75,62.83575748432603,2
19,AMD Athlon 64 X2 4800+,CPU,2006-05-23,90.0,110.0,199.0,233.0,2400.0,Unknown,AMD,18085.067592550884,9507.776425971648,550.5972462262117,1.170854271356784,86.4343311451968,0
20,Intel Core i5-3427U,CPU,2012-06-01,22.0,17.0,118.0,1400.0,1800.0,Intel,Intel,8346.497049009551,4548.417171684859,254.78297125317428,11.864406779661017,267.55395127557995,2
21,AMD Opteron 148 HE,CPU,2004-12-01,90.0,55.0,103.36318629283959,106.0,2200.0,Unknown,AMD,18079.313358757623,9537.970242501167,549.3845310845403,1.0255101821231596,173.41764077274848,0
22,AMD Athlon 1100,CPU,2000-08-14,180.0,60.0,120.0,37.0,1100.0,Unknown,AMD,6180.907517680021,779.0137796765514,24.34269500156277,0.30833333333333335,12.98356299460919,0
23,Intel Core i7-975,CPU,2009-06-02,45.0,130.0,263.0,731.0,3333.0,Intel,Intel,15559.45101605171,7989.86243767714,492.7366607453265,2.779467680608365,61.460480289824154,1
