cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category,performance_per_core,performance_per_watt,thread_efficiency,brand,cpu_name_clean,singleScore,multiScore,baseClock,turboClock,boost_headroom,smt_efficiency,single_efficiency,scaling_efficiency,gaming_score,productivity_score,combined_score,r23_per_dollar,gaming_value,productivity_value
AMD Ryzen Threadripper PRO 5995WX,6812.49,108822,,3330,,280.0,388.65,64,2022,sWRX8,Desktop,1700.34375,388.65,1.9584275238462812,AMD,AMD Ryzen Threadripper PRO 5995WX,,,,,,,,,3330.0,108822.0,108822.0,,0.4888080569659552,15.973895007552304
AMD EPYC 7763,7299.99,88338,12.1,2635,0.36,280.0,315.49,64,2021,SP3,Server,1380.28125,315.49285714285713,1.9090312209920985,AMD,AMD EPYC 7763,,,,,,,,,2635.0,88338.0,88338.0,,0.3609593985745186,12.101112467277353
AMD EPYC 7J13,6812.49,86006,,2387,,280.0,,64,2021,unknown,Server,1343.84375,307.1642857142857,1.776248168732414,AMD,AMD EPYC 7J13,,,,,,,,,2387.0,86006.0,86006.0,,0.35038583542874924,12.624752476700884
AMD EPYC 7713,7060.0,85861,12.16,2727,0.39,225.0,381.6,64,2021,SP3,Server,1341.578125,381.6044444444444,2.0326807281536436,AMD,AMD EPYC 7713,,,,,,,,,2727.0,85861.0,85861.0,,0.38626062322946175,12.161614730878187
AMD Ryzen Threadripper PRO 3995WX,6807.98,83971,12.33,2626,0.39,280.0,299.9,64,2020,sWRX8,Desktop,1312.046875,299.89642857142854,2.0014528825427824,AMD,AMD Ryzen Threadripper PRO 3995WX,1231.0,73220.0,2.7,4.2,0.5555555555555555,2.0,293.0952380952381,0.929376523151909,22827.7,51623.3,37225.5,10.75502571981704,3.353079768154431,7.582763169104493
AMD Ryzen Threadripper 3990X,8399.69,81568,9.71,2569,0.31,280.0,291.31,64,2020,sTRX4,Desktop,1274.5,291.3142857142857,2.0156924284032955,AMD,AMD Ryzen Threadripper 3990X,,,,,,,,,2569.0,81568.0,81568.0,,0.3058446204562311,9.710834566513764
AMD Ryzen Threadripper PRO 5975WX,2840.0,80842,,3340,,280.0,288.72,32,2022,sWRX8,Desktop,2526.3125,288.7214285714286,1.3220850547982483,AMD,AMD Ryzen Threadripper PRO 5975WX,,,,,,,,,3340.0,80842.0,80842.0,,1.176056338028169,28.46549295774648
AMD EPYC 7B13,169.99,77460,,2564,,280.0,,60,2021,unknown,Server,1291.0,276.64285714285717,1.9860573199070488,AMD,AMD EPYC 7B13,,,,,,,,,2564.0,77460.0,77460.0,,15.083240190599446,455.67386316842163
AMD EPYC 7643,5424.99,76455,14.09,2695,0.5,225.0,339.8,48,2021,SP3,Server,1592.8125,339.8,1.6919756719639003,AMD,AMD EPYC 7643,,,,,,,,,2695.0,76455.0,76455.0,,0.4967751092628742,14.093113535693155
AMD EPYC 7702,4000.0,71646,17.91,2097,0.52,200.0,358.23,64,2020,SP3,Server,1119.46875,358.23,1.8732099489155012,AMD,AMD EPYC 7702,,,,,,,,,2097.0,71646.0,71646.0,,0.52425,17.9115
AMD EPYC 7662,6817.0,71576,10.5,2054,0.3,225.0,318.12,64,2021,SP3,Server,1118.375,318.11555555555555,1.8365932714876494,AMD,AMD EPYC 7662,,,,,,,,,2054.0,71576.0,71576.0,,0.30130555963033595,10.49963326976676
AMD EPYC 7742,5045.99,68749,13.62,2145,0.43,225.0,305.55,64,2019,SP3,Server,1074.203125,305.5511111111111,1.996829044786106,AMD,AMD EPYC 7742,,,,,,,,,2145.0,68749.0,68749.0,,0.4250900219778478,13.624482014431262
AMD EPYC 75F3,2840.0,68505,,2775,,280.0,244.66,32,2021,SP3,Server,2140.78125,244.66071428571428,1.2962557477556382,AMD,AMD EPYC 75F3,,,,,,,,,2775.0,68505.0,68505.0,,0.977112676056338,24.121478873239436
AMD Ryzen Threadripper PRO 5965WX,2007.56,68405,,3346,,280.0,244.3,24,2022,sWRX8,Desktop,2850.2083333333335,244.30357142857142,1.1739492727139829,AMD,AMD Ryzen Threadripper PRO 5965WX,,,,,,,,,3346.0,68405.0,68405.0,,1.6666998744744865,34.073701408675205
AMD EPYC 7642,3684.0,67748,18.39,2155,0.59,225.0,301.1,48,2021,SP3,Server,1411.4166666666667,301.1022222222222,1.5268347405089449,AMD,AMD EPYC 7642,,,,,,,,,2155.0,67748.0,67748.0,,0.5849619978284474,18.389793702497286
AMD EPYC 7543P,2999.0,67144,22.39,2742,0.91,225.0,298.42,32,2021,SP3,Server,2098.25,298.41777777777776,1.3068032884546645,AMD,AMD EPYC 7543P,,,,,,,,,2742.0,67144.0,67144.0,,0.9143047682560853,22.388796265421806
AMD EPYC 7R32,4554.495,64727,,1922,,250.0,,48,2020,unknown,Server,1348.4791666666667,258.908,1.4253093763035518,AMD,AMD EPYC 7R32,,,,,,,,,1922.0,64727.0,64727.0,,0.4220006828418958,14.21167440078428
AMD Ryzen Threadripper 3970X,2997.99,63835,21.29,2694,0.9,280.0,227.98,32,2019,sTRX4,Desktop,1994.84375,227.98214285714286,1.350481710660296,AMD,AMD Ryzen Threadripper 3970X,,,,,,,,,2694.0,63835.0,63835.0,,0.8986020633824663,21.292599374914527
AMD Ryzen Threadripper PRO 3975WX,4499.99,63495,14.11,2666,0.59,280.0,226.77,32,2020,sWRX8,Desktop,1984.21875,226.76785714285714,1.3436018584140483,AMD,AMD Ryzen Threadripper PRO 3975WX,1244.0,43450.0,3.5,4.2,0.20000000000000004,2.0,296.1904761904762,1.0914891479099678,13905.8,30788.199999999997,22347.0,9.655577012393362,3.0901846448547663,6.841837426305392
Intel Xeon Platinum 8380 @ 2.30GHz,8978.0,62317,6.94,2385,0.27,270.0,230.81,40,2021,FCLGA4189,Server,1557.925,230.8037037037037,1.5308824237367011,Intel,Intel Xeon Platinum 8380,,,,,,,,,2385.0,62317.0,62317.0,,0.26564936511472487,6.941078191133883
AMD EPYC 7702P,3499.99,61689,17.63,2110,0.6,200.0,308.44,64,2019,SP3,Server,963.890625,308.445,2.1890450485499846,AMD,AMD EPYC 7702P,993.0,48959.0,2.0,3.35,0.675,2.0,296.4179104477612,0.7703770140986909,15382.8,34569.2,24976.0,13.988325680930517,4.395098271709347,9.876942505550016
AMD EPYC 74F3,4989.0,60948,12.22,2975,0.6,240.0,253.95,24,2021,SP3,Server,2539.5,253.95,1.1714904508761568,AMD,AMD EPYC 74F3,,,,,,,,,2975.0,60948.0,60948.0,,0.596311886149529,12.216476247745039
AMD EPYC 7513,2840.0,59732,21.03,2447,0.86,200.0,298.66,32,2021,SP3,Server,1866.625,298.66,1.3109221187972946,AMD,AMD EPYC 7513,,,,,,,,,2447.0,59732.0,59732.0,,0.8616197183098592,21.032394366197185
AMD EPYC 7443P,1499.99,57666,38.44,2965,1.98,200.0,288.33,24,2021,SP3,Server,2402.75,288.33,1.2340027052335865,AMD,AMD EPYC 7443P,,,,,,,,,2965.0,57666.0,57666.0,,1.9766798445322968,38.44425629504197
AMD EPYC 7542,1789.99,56728,31.69,2207,1.23,225.0,252.13,32,2019,SP3,Server,1772.75,252.12444444444444,1.244958397969257,AMD,AMD EPYC 7542,,,,,,,,,2207.0,56728.0,56728.0,,1.232967781942916,31.691797160877993
AMD EPYC 7543,3761.0,56562,15.04,2563,0.68,240.0,235.68,32,2021,SP3,Server,1767.5625,235.675,1.4500194476857253,AMD,AMD EPYC 7543,,,,,,,,,2563.0,56562.0,56562.0,,0.6814676947620314,15.039085349641052
