cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category,performance_per_core,performance_per_watt,thread_efficiency,brand,cpu_name_clean
AMD Ryzen Threadripper PRO 5995WX,6812.49,108822,,3330,,280.0,388.65,64,2022,sWRX8,Desktop,1700.34375,388.65,1.9584275238462812,AMD,AMD Ryzen Threadripper PRO 5995WX
AMD EPYC 7763,7299.99,88338,12.1,2635,0.36,280.0,315.49,64,2021,SP3,Server,1380.28125,315.49285714285713,1.9090312209920985,AMD,AMD EPYC 7763
AMD EPYC 7J13,6812.49,86006,,2387,,280.0,,64,2021,unknown,Server,1343.84375,307.1642857142857,1.776248168732414,AMD,AMD EPYC 7J13
AMD EPYC 7713,7060.0,85861,12.16,2727,0.39,225.0,381.6,64,2021,SP3,Server,1341.578125,381.6044444444444,2.0326807281536436,AMD,AMD EPYC 7713
AMD Ryzen Threadripper PRO 3995WX,6807.98,83971,12.33,2626,0.39,280.0,299.9,64,2020,sWRX8,Desktop,1312.046875,299.89642857142854,2.0014528825427824,AMD,AMD Ryzen Threadripper PRO 3995WX
AMD Ryzen Threadripper 3990X,8399.69,81568,9.71,2569,0.31,280.0,291.31,64,2020,sTRX4,Desktop,1274.5,291.3142857142857,2.0156924284032955,AMD,AMD Ryzen Threadripper 3990X
AMD Ryzen Threadripper PRO 5975WX,2840.0,80842,,3340,,280.0,288.72,32,2022,sWRX8,Desktop,2526.3125,288.7214285714286,1.3220850547982483,AMD,AMD Ryzen Threadripper PRO 5975WX
AMD EPYC 7B13,169.99,77460,,2564,,280.0,,60,2021,unknown,Server,1291.0,276.64285714285717,1.9860573199070488,AMD,AMD EPYC 7B13
AMD EPYC 7643,5424.99,76455,14.09,2695,0.5,225.0,339.8,48,2021,SP3,Server,1592.8125,339.8,1.6919756719639003,AMD,AMD EPYC 7643
AMD EPYC 7702,4000.0,71646,17.91,2097,0.52,200.0,358.23,64,2020,SP3,Server,1119.46875,358.23,1.8732099489155012,AMD,AMD EPYC 7702
AMD EPYC 7662,6817.0,71576,10.5,2054,0.3,225.0,318.12,64,2021,SP3,Server,1118.375,318.11555555555555,1.8365932714876494,AMD,AMD EPYC 7662
AMD EPYC 7742,5045.99,68749,13.62,2145,0.43,225.0,305.55,64,2019,SP3,Server,1074.203125,305.5511111111111,1.996829044786106,AMD,AMD EPYC 7742
AMD EPYC 75F3,2840.0,68505,,2775,,280.0,244.66,32,2021,SP3,Server,2140.78125,244.66071428571428,1.2962557477556382,AMD,AMD EPYC 75F3
AMD Ryzen Threadripper PRO 5965WX,2007.56,68405,,3346,,280.0,244.3,24,2022,sWRX8,Desktop,2850.2083333333335,244.30357142857142,1.1739492727139829,AMD,AMD Ryzen Threadripper PRO 5965WX
