memoryName,gen,latency,readUncached,write,price,perf_score,value_score,gen_numeric
Kingston KF556C40-32 32GB,DDR5,44,21600.0,18100.0,599.0,882.2222222222222,1.4703703703703703,5
G Skill Intl F5-6400J3239G16G 16GB,DDR5,31,19500.0,16700.0,909.98,1131.25,1.2417945509231816,5
G Skill Intl F5-5600J3636C16G 16GB,DDR5,42,19400.0,16300.0,627.98,830.2325581395348,1.3199665460579586,5
G Skill Intl F5-6000U3636E16G 16GB,DDR5,28,18700.0,15900.0,599.0,1193.103448275862,1.988505747126437,5
Corsair CMT64GX5M2B5200C40 32GB,DDR5,37,16500.0,15400.0,599.0,839.4736842105264,1.3991228070175439,5
Kingston 9905783-025.A01G 16GB,DDR5,41,17800.0,15200.0,599.0,785.7142857142857,1.3095238095238095,5
Team Group Inc. UD5-6400 16GB,DDR5,37,17400.0,15100.0,599.0,855.2631578947369,1.4254385964912282,5
Kingston KF560C40-16 16GB,DDR5,33,18100.0,15000.0,599.0,973.5294117647059,1.6225490196078431,5
Corsair CMT32GX5M2B5600C36 16GB,DDR5,32,17400.0,15000.0,559.0,981.8181818181819,1.7532467532467533,5
Corsair CMT32GX5M2X6200C36 16GB,DDR5,31,16900.0,14900.0,599.0,993.75,1.65625,5
A-DATA Technology AX5U6000C4016G-B 16GB,DDR5,33,17300.0,14800.0,599.0,944.1176470588235,1.5735294117647058,5
Corsair CMK32GX5M2B5600C36 16GB,DDR5,31,16800.0,14700.0,499.0,984.375,1.96875,5
G Skill Intl F5-6000U4040E16G 16GB,DDR5,30,17100.0,14600.0,599.0,1022.5806451612904,1.7043010752688172,5
Kingston KF556C40-8 8GB,DDR5,48,17100.0,14600.0,599.0,646.9387755102041,1.0782312925170068,5
G Skill Intl F5-6000J3636F16G 16GB,DDR5,30,16400.0,14400.0,699.0,993.5483870967741,1.4193548387096773,5
Corsair CMK64GX5M2B5200C40 32GB,DDR5,31,15800.0,14300.0,799.0,940.625,1.17578125,5
A-DATA Technology AD5U48008G-B 8GB,DDR5,44,17400.0,14200.0,599.0,702.2222222222222,1.1703703703703703,5
G Skill Intl F5-6000J4040F16G 16GB,DDR5,31,16200.0,14100.0,664.98,946.875,1.4217769302381453,5
Kingston KF548C38-16 16GB,DDR5,36,16600.0,14000.0,599.0,827.027027027027,1.3783783783783783,5
Corsair CMT32GX5M2X5600C36 16GB,DDR5,27,16000.0,14000.0,699.0,1071.4285714285713,1.530612244897959,5
Kingston KF556C40-16 16GB,DDR5,32,16300.0,13700.0,599.0,909.0909090909091,1.5151515151515151,5
Kingston KF552C40-16 16GB,DDR5,33,16200.0,13700.0,599.0,879.4117647058823,1.4656862745098038,5
Golden Empire CL34-38-38 D5-5200 16GB,DDR5,29,15000.0,13700.0,599.0,956.6666666666666,1.5944444444444443,5
Crucial Technology CT32G48C40U5.M16A1 32GB,DDR5,31,14900.0,13700.0,599.0,893.75,1.4895833333333333,5
A-DATA Technology AX5U5200C3816G-B 16GB,DDR5,33,15800.0,13500.0,599.0,861.7647058823529,1.4362745098039216,5
Corsair CMK32GX5M2B5200C40 16GB,DDR5,30,15400.0,13500.0,399.0,932.258064516129,2.3306451612903225,5
G Skill Intl F5-5600J4040C16G 16GB,DDR5,22,14900.0,13500.0,613.98,1234.7826086956522,2.0078418951765133,5
Corsair CMT32GX5M2B5200C38 16GB,DDR5,29,15500.0,13200.0,599.0,956.6666666666666,1.5944444444444443,5
G Skill Intl F5-5600U3636C16G 16GB,DDR5,25,14400.0,13000.0,599.0,1053.8461538461538,1.7564102564102564,5
Corsair CMT32GX5M2B5200C40 16GB,DDR5,28,14800.0,12900.0,559.0,955.1724137931035,1.705665024630542,5
Corsair CMK32GX5M2A4800C40 16GB,DDR5,32,14700.0,12900.0,379.0,836.3636363636364,2.200956937799043,5
Crucial Technology CT16G48C40U5.M8A1 16GB,DDR5,27,15500.0,12600.0,123.99,1003.5714285714286,8.029213765672683,5
GIGA - BYTE Technology Co Ltd GP-ARS32G52D5 16GB,DDR5,24,14400.0,12400.0,499.0,1072.0,2.144,5
Corsair CM5S16GM4800A40N2 16GB,DDR5,24,13900.0,12400.0,599.0,1052.0,1.7533333333333334,5
Corsair CM5S16GM4800A40K2 16GB,DDR5,24,13400.0,12400.0,599.0,1032.0,1.72,5
Samsung M323R2GA3BB0-CQKOD 16GB,DDR5,25,13400.0,12100.0,599.0,980.7692307692307,1.6346153846153846,5
Corsair CMTS16GM4800A40T2 16GB,DDR5,24,13300.0,12100.0,599.0,1016.0,1.6933333333333334,5
Crucial Technology CT8G48C40U5.M4A1 8GB,DDR5,30,14800.0,11600.0,599.0,851.6129032258065,1.4193548387096775,5
A-DATA Technology AD5U480016G-B 16GB,DDR5,25,13500.0,11200.0,599.0,950.0,1.5833333333333333,5
Patriot Memory (PDP Systems) 4000 C16 Series 8GB,DDR4,19,21900.0,22200.0,168.495,2205.0,13.00923331071713,4
G Skill Intl F4-5333C22-8GTRG 8GB,DDR4,26,25300.0,21400.0,168.495,1729.6296296296296,10.204605620399596,4
Team Group Inc. TEAMGROUP-UD4-4300 8GB,DDR4,19,25100.0,21300.0,168.495,2320.0,13.687719401752263,4
G Skill Intl F4-4600C19-8GTZSWC 8GB,DDR4,16,22300.0,21200.0,168.495,2558.823529411765,15.09674934016794,4
G Skill Intl F4-3600C14-16GTRS 16GB,DDR4,23,23000.0,21100.0,168.495,1837.5,10.841027758930942,4
