r23_idx,r23_name,best_match,similarity
0,Threadripper 3990X,AMD Ryzen Threadripper 3990X,78
3,Threadripper 3970X,AMD Ryzen Threadripper 3970X,78
5,Threadripper 3960X,AMD Ryzen Threadripper 3960X,78
6,Threadripper 2990WX,AMD Ryzen Threadripper 2990WX,79
18,M1 Ultra,Apple M1 Ultra 20 Core,53
20,Threadripper 1950X,AMD Ryzen Threadripper 1950X,78
21,Threadripper 2950X,AMD Ryzen Threadripper 2950X,78
45,Threadripper 1920X,AMD Ryzen Threadripper 1920X,78
82,M1 Max,MT6891Z/CZA,47
88,M1 Pro,AMD PRO A8-9600,48
147,Threadripper 1900X,AMD Ryzen Threadripper 1900X,78
168,M1,M7221,57
